country,year,population,gdp,co2,co2_per_capita,coal_co2,oil_co2,gas_co2,cement_co2,methane,nitrous_oxide,total_ghg,temperature_change_from_co2
China,2008,1333821011.0,10799148337884.0,7492.404,5.617,5729.368,970.121,149.674,516.934,1183.054,462.386,9244.5,0.082
China,2009,1342522717.0,11572544299171.0,7881.491,5.871,6028.871,982.355,164.404,573.584,1197.731,441.753,9644.707,0.085
China,2010,1351561505.0,12858808500983.0,8610.048,6.37,6569.148,1092.572,199.585,628.658,1241.241,447.392,10308.954,0.089
China,2011,1360250658.0,13691526496125.0,9520.153,6.999,7309.64,1123.862,245.99,696.451,1323.284,453.959,11352.635,0.094
China,2012,1369520866.0,14773157494771.0,9767.311,7.132,7464.979,1176.716,277.599,702.562,1319.353,460.654,11526.329,0.098
China,2013,1379008040.0,15925464549520.0,9942.371,7.21,7493.418,1234.622,320.127,735.53,1330.891,461.947,11692.455,0.102
China,2014,1387951970.0,17103948867278.0,9976.027,7.188,7425.231,1255.609,370.222,757.115,1340.685,464.422,11689.33,0.107
China,2015,1396134171.0,18301224436466.0,9858.04,7.061,7266.352,1328.812,380.052,706.275,1341.393,466.877,11642.968,0.111
China,2016,1404052628.0,19545709173693.0,9748.175,6.943,7071.886,1357.842,421.726,728.112,1299.595,466.111,11382.781,0.116
China,2017,1412354730.0,20894362082435.0,10000.014,7.08,7163.662,1430.594,486.359,740.559,1319.021,463.766,11622.925,0.12
China,2018,1419008954.0,22294284747546.0,10346.79,7.292,7316.7,1500.478,575.369,752.743,1354.933,461.258,11989.896,0.125
China,2019,1423520357.0,23631941251482.0,10713.515,7.526,7522.577,1559.739,630.171,805.948,1373.722,453.971,12322.384,0.129
China,2020,1426106093.0,24151843898871.0,10896.521,7.641,7679.382,1523.058,676.473,828.71,1398.962,455.387,12524.051,0.134
China,2021,1426437269.0,26180600167672.0,11284.401,7.911,8004.203,1521.109,765.332,802.485,1450.486,465.801,12958.471,0.139
China,2022,1425179562.0,26966016991166.0,11711.808,8.218,8468.947,1559.721,773.225,718.777,1513.475,464.382,13446.92,0.144
China,2023,1422584930.0,,12172.009,8.556,8740.891,1729.58,828.897,681.688,1541.531,471.637,13934.404,0.15
China,2024,1419321284.0,,12289.037,8.658,8886.021,1705.386,889.406,617.752,1590.674,475.534,14107.007,0.155
France,1990,56990239.0,1636207672000.0,394.904,6.929,80.69,234.705,59.211,10.937,89.572,56.184,584.751,0.012
France,1991,57271564.0,1654070164992.0,419.119,7.318,86.241,246.275,66.875,10.386,89.053,61.6,638.377,0.012
France,1992,57554867.0,1681416991070.0,408.433,7.096,78.038,244.389,67.822,9.343,88.009,61.186,604.328,0.012
France,1993,57801261.0,1671995828699.0,388.89,6.728,63.127,240.498,67.969,8.592,86.831,60.278,557.99,0.012
France,1994,57999868.0,1712086429935.0,381.903,6.585,61.809,234.585,67.514,8.775,86.117,60.224,531.355,0.013
France,1995,58192207.0,1748659531786.0,386.959,6.65,62.977,237.37,68.705,8.635,86.018,62.741,523.819,0.013
France,1996,58380638.0,1773843233893.0,403.352,6.909,65.333,244.422,75.83,8.436,86.103,64.707,531.851,0.013
France,1997,58568662.0,1816394950229.0,396.023,6.762,61.29,242.028,75.104,8.111,84.949,59.002,506.372,0.013
France,1998,58778817.0,1882050330390.0,414.357,7.049,71.294,248.068,76.864,8.686,84.638,48.884,507.601,0.013
France,1999,59084209.0,1949849405155.0,413.07,6.991,66.41,248.521,80.748,8.386,84.365,46.538,495.177,0.013
France,2000,59483716.0,2031676031476.0,407.445,6.85,65.75,239.763,84.307,8.561,86.397,45.75,483.111,0.014
France,2001,59905131.0,2077786711965.0,411.592,6.871,56.1,249.573,88.43,8.655,86.257,45.098,478.636,0.014
France,2002,60327247.0,2107316572579.0,407.027,6.747,58.586,243.247,87.94,8.643,84.895,43.655,471.031,0.014
France,2003,60741119.0,2130940712046.0,412.989,6.799,59.198,245.064,91.624,8.556,83.604,43.394,476.792,0.014
France,2004,61175244.0,2196883540402.0,414.073,6.769,58.225,244.922,93.182,9.065,82.771,43.024,477.93,0.014
France,2005,61625031.0,2238790479440.0,416.343,6.756,62.032,241.908,94.862,9.108,81.853,41.533,477.956,0.014
France,2006,62049831.0,2297018080700.0,406.669,6.554,59.484,236.777,92.274,9.307,80.954,40.267,466.453,0.015
France,2007,62432438.0,2354672057875.0,396.461,6.35,61.349,227.452,89.101,9.478,80.865,40.849,457.941,0.015
France,2008,62780187.0,2362451821701.0,389.794,6.209,56.167,223.518,92.016,8.88,81.134,39.528,452.329,0.015
France,2009,63106460.0,2295352990111.0,371.404,5.885,45.161,219.508,90.665,7.679,79.836,37.994,433.117,0.015
France,2010,63417366.0,2342490492199.0,377.079,5.946,49.071,215.854,96.134,7.888,79.801,38.561,442.929,0.015
France,2011,63733776.0,2393401943613.0,355.127,5.572,42.169,208.907,87.85,8.065,77.433,37.287,417.796,0.015
France,2012,64058465.0,2400896391731.0,358.1,5.59,46.931,205.354,90.837,7.502,76.667,38.006,425.889,0.015
France,2013,64387736.0,2414733629218.0,360.013,5.591,49.664,204.287,91.386,7.3,76.53,38.844,432.705,0.016
France,2014,64692495.0,2437822780219.0,327.809,5.067,39.548,197.641,76.454,6.975,75.539,38.853,401.917,0.016
France,2015,64916337.0,2464953810985.0,332.131,5.116,38.024,199.231,81.392,6.606,74.128,39.571,407.676,0.016
France,2016,65086853.0,2491956183265.0,335.496,5.155,36.016,196.896,89.261,6.639,74.133,38.051,412.226,0.016
France,2017,65284775.0,2549057506683.0,338.368,5.183,39.997,195.911,89.406,6.483,73.88,39.445,427.92,0.016
France,2018,65519537.0,2596599107835.0,323.102,4.931,35.126,189.446,84.89,6.701,73.924,37.938,399.243,0.016
France,2019,65729460.0,2644453795826.0,316.321,4.812,29.426,187.285,86.387,6.807,71.514,37.29,413.097,0.016
France,2020,65905273.0,2438594133224.0,281.515,4.272,23.854,165.543,80.065,6.197,68.697,36.383,363.796,0.017
France,2021,66083547.0,2604822841790.0,307.272,4.65,30.472,179.122,85.402,6.495,67.554,36.343,387.602,0.017
France,2022,66277412.0,2671568767031.0,295.304,4.456,26.199,179.255,77.656,6.397,65.721,34.064,369.803,0.017
France,2023,66438828.0,,270.263,4.068,19.542,172.229,67.157,5.675,64.891,33.543,345.135,0.017
France,2024,66548532.0,,264.156,3.969,19.469,170.692,62.699,5.675,62.809,32.581,337.876,0.017
Germany,1990,79707963.0,2015547498359.0,1054.796,13.233,569.117,333.324,122.281,15.297,147.875,71.228,1261.087,0.03
Germany,1991,80303190.0,2141316417831.0,1016.93,12.664,504.043,355.311,130.146,13.741,141.408,72.755,1217.409,0.031
Germany,1992,80934901.0,2204952392823.0,969.464,11.978,454.311,357.981,129.3,14.444,134.432,69.867,1166.562,0.031
Germany,1993,81486771.0,2206290854718.0,959.386,11.774,430.776,364.629,136.252,14.531,129.106,66.722,1150.585,0.032
Germany,1994,81773613.0,2283952742009.0,943.228,11.535,418.185,353.812,142.15,15.341,124.623,70.541,1132.333,0.032
Germany,1995,82019890.0,2347761113534.0,939.934,11.46,406.046,351.7,152.97,15.562,123.309,67.194,1123.859,0.033
Germany,1996,82263195.0,2391519573153.0,959.69,11.666,400.613,361.057,169.956,14.811,120.015,69.28,1143.871,0.033
Germany,1997,82389631.0,2461046373781.0,931.508,11.306,386.864,353.069,162.876,15.275,115.562,66.371,1109.39,0.033
Germany,1998,82011933.0,2535903706522.0,923.499,11.261,377.48,351.914,165.377,15.545,109.806,51.343,1078.613,0.034
Germany,1999,81678279.0,2613176576967.0,895.442,10.963,360.052,340.846,165.627,15.771,106.765,49.72,1044.601,0.034
Germany,2000,81797255.0,2718560455818.0,898.976,10.99,373.461,330.774,166.421,15.253,100.75,49.641,1042.311,0.035
Germany,2001,81933882.0,2793373055251.0,915.255,11.171,376.52,338.871,173.799,13.504,96.953,47.462,1053.208,0.035
Germany,2002,82068328.0,2822441773260.0,898.834,10.952,375.786,324.413,173.61,12.823,93.47,46.377,1034.082,0.035
Germany,2003,82111619.0,2831676106520.0,894.501,10.894,378.305,313.847,176.587,13.507,90.241,45.183,1027.411,0.036
Germany,2004,82092706.0,2894624877966.0,876.57,10.678,374.908,301.208,174.327,14.068,87.161,44.703,1007.236,0.036
Germany,2005,82046733.0,2945460930734.0,867.88,10.578,361.975,305.188,175.904,13.05,84.118,43.785,994.287,0.037
Germany,2006,81701971.0,3086359147617.0,886.434,10.85,367.653,313.191,180.197,13.34,81.356,42.561,1010.108,0.037
Germany,2007,81298546.0,3220275669650.0,846.153,10.408,376.715,268.924,173.851,14.449,81.571,42.884,972.651,0.037
Germany,2008,81110780.0,3289020399474.0,856.643,10.561,353.581,296.43,180.995,13.579,79.662,41.268,978.997,0.038
Germany,2009,80935276.0,3136502162046.0,789.984,9.761,316.28,282.438,168.399,12.559,77.142,40.643,905.805,0.038
Germany,2010,80830916.0,3301123203586.0,826.705,10.228,341.311,277.154,184.875,12.431,76.001,40.97,944.315,0.039
Germany,2011,80857877.0,3467712967640.0,804.542,9.95,339.624,270.809,169.399,13.393,74.456,39.874,917.062,0.039
Germany,2012,80916391.0,3482225441398.0,814.093,10.061,350.039,271.945,167.84,13.289,73.017,40.136,928.365,0.039
Germany,2013,81041581.0,3497463140441.0,831.746,10.263,357.254,280.396,170.269,12.503,71.534,40.875,946.155,0.04
Germany,2014,81376078.0,3574741315261.0,792.584,9.74,344.722,271.603,151.989,12.905,70.317,41.641,905.698,0.04
Germany,2015,82077546.0,3628073946157.0,800.823,9.757,341.117,278.861,157.112,12.626,69.267,40.717,911.142,0.04
Germany,2016,82760102.0,3708979940863.0,797.988,9.642,329.436,275.704,169.169,12.663,67.725,39.922,907.177,0.041
Germany,2017,83104010.0,3808389445530.0,784.595,9.441,312.692,275.506,172.045,13.408,67.433,38.646,891.569,0.041
Germany,2018,83368507.0,3845758522294.0,758.771,9.101,296.871,268.094,169.76,13.228,65.036,37.497,859.214,0.041
Germany,2019,83559184.0,3886392581475.0,708.649,8.481,240.114,271.933,172.762,13.287,63.043,37.338,808.001,0.042
Germany,2020,83628711.0,3742721113842.0,647.177,7.739,198.53,254.465,170.963,13.357,61.045,36.143,743.816,0.042
Germany,2021,83697080.0,3841041747482.0,677.998,8.101,232.139,240.525,181.31,13.64,60.245,35.44,774.763,0.042
Germany,2022,84086227.0,3909612753939.0,667.843,7.942,239.428,247.017,158.685,12.538,58.913,34.338,759.795,0.043
Germany,2023,84548233.0,,593.766,7.023,186.157,237.487,150.342,10.765,57.44,33.064,683.559,0.043
Germany,2024,84552234.0,,572.319,6.769,162.639,232.958,157.679,10.283,56.136,32.159,659.655,0.043
India,1990,864972221.0,1750993000000.0,577.987,0.668,366.504,158.167,21.097,22.348,636.163,147.914,1526.914,0.016
India,1991,883927605.0,1768493598375.0,615.388,0.696,393.066,166.423,23.563,24.503,643.841,152.574,1561.427,0.016
India,1992,902957075.0,1851711465033.0,655.424,0.726,411.39,188.056,27.257,25.156,649.039,156.969,1632.941,0.016
India,1993,922118380.0,1944353884791.0,677.262,0.734,433.085,186.878,26.996,26.602,647.945,160.823,1638.294,0.017
India,1994,941163772.0,2055026658036.0,714.043,0.759,455.699,198.955,28.997,28.54,653.566,166.668,1675.792,0.017
India,1995,960301046.0,2189535837458.0,760.48,0.792,471.741,216.281,39.051,31.104,661.917,170.235,1712.603,0.017
India,1996,979678460.0,2345228680352.0,823.602,0.841,504.479,243.161,39.747,34.079,668.736,175.108,1817.629,0.018
India,1997,999133764.0,2426804815330.0,857.976,0.859,527.685,244.203,46.024,37.418,676.001,179.75,1831.317,0.018
India,1998,1018665080.0,2567853125008.0,875.783,0.86,524.136,262.892,47.595,39.026,679.577,183.609,1855.813,0.019
India,1999,1038225822.0,2710353015518.0,961.194,0.926,560.465,301.469,52.619,44.592,684.029,187.064,1939.573,0.019
India,2000,1057922731.0,2804478499774.0,987.065,0.933,572.903,313.441,52.791,45.957,685.316,183.787,2005.885,0.02
India,2001,1077898579.0,2940745466088.0,1001.198,0.929,582.111,317.363,53.128,46.74,689.962,186.588,2000.273,0.02
India,2002,1097600380.0,3024984520809.0,1032.75,0.941,598.539,325.889,57.609,49.111,683.408,180.288,1994.045,0.021
India,2003,1116803000.0,3251114494190.0,1068.398,0.957,625.833,331.333,58.565,50.88,695.315,186.553,2059.556,0.021
India,2004,1135991509.0,3495022816540.0,1134.611,0.999,669.993,348.992,58.316,55.545,705.392,193.083,2129.202,0.022
India,2005,1154676321.0,3752627653422.0,1195.393,1.035,721.496,353.15,59.357,59.687,721.894,201.701,2205.413,0.022
India,2006,1172878888.0,4069856052453.0,1293.321,1.103,773.551,370.544,82.58,64.905,733.283,211.708,2324.594,0.023
India,2007,1190676028.0,4403215224414.0,1393.485,1.17,842.536,392.818,87.956,68.333,749.827,222.493,2485.674,0.024
India,2008,1207930960.0,4649548164533.0,1490.366,1.234,910.753,414.204,90.277,73.245,764.115,227.304,2641.331,0.024
India,2009,1225524764.0,4993478894185.0,1613.328,1.316,983.947,433.771,112.463,81.268,762.322,233.941,2738.05,0.025
India,2010,1243481565.0,5361371354007.0,1678.53,1.35,1015.983,440.692,134.121,86.029,769.342,242.128,2848.131,0.026
India,2011,1261224956.0,5720692888000.0,1765.695,1.4,1074.385,461.37,135.977,91.314,781.037,251.811,2950.343,0.027
India,2012,1278674501.0,6052427493607.0,1926.986,1.507,1206.452,491.148,125.558,100.237,783.911,254.287,3164.01,0.028
India,2013,1295829507.0,6424470752490.0,1995.337,1.54,1276.383,498.314,109.554,107.82,758.221,255.623,3124.772,0.029
India,2014,1312277184.0,6875186158349.0,2148.052,1.637,1407.057,513.84,107.801,115.825,765.858,259.789,3216.867,0.03
India,2015,1328024494.0,7391521519812.0,2231.817,1.681,1449.587,557.523,103.062,117.508,773.451,263.334,3290.423,0.031
India,2016,1343944296.0,8057465593010.0,2352.54,1.75,1499.401,616.112,109.989,123.281,781.626,262.254,3365.011,0.032
India,2017,1359657398.0,8550029645172.0,2425.722,1.784,1551.256,634.116,116.479,121.047,786.601,267.236,3415.989,0.033
India,2018,1374659067.0,9173201683791.0,2595.227,1.888,1668.318,658.715,126.74,138.965,800.125,275.219,3616.201,0.034
India,2019,1389030307.0,9595463242427.0,2611.175,1.88,1661.94,677.884,125.233,143.664,800.179,282.638,3613.001,0.035
India,2020,1402617694.0,8945313249462.0,2422.732,1.727,1561.799,607.535,127.684,122.908,807.835,289.398,3436.429,0.036
India,2021,1414203896.0,9801621018003.0,2675.778,1.892,1767.297,623.485,133.192,149.033,821.053,290.389,3697.615,0.037
India,2022,1425423209.0,10476248645535.0,2831.132,1.986,1855.854,684.014,124.009,164.331,835.674,298.332,3869.995,0.039
India,2023,1438069597.0,,3062.756,2.13,2032.048,718.183,132.42,177.239,847.637,305.944,4121.424,0.04
India,2024,1450935785.0,,3193.478,2.201,2108.033,747.333,149.352,185.97,859.294,310.004,4262.411,0.041
Japan,1990,123399767.0,3699821545804.0,1154.853,9.359,311.242,668.244,118.288,38.701,53.876,31.508,1228.267,0.015
Japan,1991,123889870.0,3824677506935.0,1166.552,9.416,311.216,670.611,126.442,40.347,53.76,32.029,1236.136,0.016
Japan,1992,124383707.0,3856515730401.0,1175.454,9.45,305.863,683.298,127.887,41.666,53.397,33.762,1246.271,0.016
Japan,1993,124839955.0,3860865231367.0,1169.328,9.367,311.471,669.613,130.679,41.224,52.861,34.202,1240.835,0.017
Japan,1994,125286861.0,3893220587047.0,1223.158,9.763,319.196,708.422,137.127,42.297,53.024,36.875,1296.694,0.017
Japan,1995,125672659.0,3997430939864.0,1235.873,9.834,328.968,706.1,142.071,42.142,51.707,37.057,1306.026,0.018
Japan,1996,125975304.0,4118875121023.0,1248.69,9.912,337.797,703.974,147.814,42.56,49.944,39.645,1323.474,0.018
Japan,1997,126265926.0,4160709430865.0,1240.98,9.828,343.384,688.639,152.482,39.926,47.668,39.248,1306.708,0.019
Japan,1998,126549182.0,4111245191910.0,1201.334,9.493,321.286,673.057,155.8,35.363,45.108,39.51,1268.279,0.019
Japan,1999,126801566.0,4098283065888.0,1238.121,9.764,339.156,682.654,165.305,35.01,43.951,36.913,1297.199,0.02
Japan,2000,127027794.0,4209651870326.0,1260.203,9.921,365.732,672.759,170.07,35.086,42.953,28.387,1320.89,0.02
Japan,2001,127260144.0,4224163277272.0,1245.935,9.79,374.745,651.363,169.164,34.374,41.539,27.876,1296.37,0.021
Japan,2002,127484599.0,4226576076119.0,1275.42,10.005,392.048,662.164,173.01,32.417,40.553,27.141,1320.563,0.022
Japan,2003,127671254.0,4288493482445.0,1283.845,10.056,405.725,652.177,178.304,31.935,39.714,26.888,1327.355,0.022
Japan,2004,127815769.0,4380398118363.0,1279.122,10.008,413.614,640.898,177.22,31.276,39.444,26.437,1320.234,0.023
